child_id,parent_id,relation
GO:0000122,GO:0006357,is_a
GO:0000122,GO:0045892,is_a
GO:0000139,GO:0098588,is_a
GO:0000139,GO:0005794,part_of
GO:0000166,GO:1901265,is_a
GO:0000166,GO:1901363,is_a
GO:0000209,GO:0016567,is_a
GO:0000323,GO:0005773,is_a
GO:0000785,GO:0110165,is_a
GO:0000785,GO:0005694,part_of
GO:0000976,GO:0001067,is_a
GO:0000976,GO:1990837,is_a
GO:0000977,GO:0000976,is_a
GO:0000978,GO:0000977,is_a
GO:0000978,GO:0000987,is_a
GO:0000981,GO:0003700,is_a
GO:0000987,GO:0000976,is_a
GO:0001067,GO:0003676,is_a
GO:0001101,GO:0042221,is_a
GO:0001216,GO:0003700,is_a
GO:0001217,GO:0003700,is_a
GO:0001221,GO:0008134,is_a
GO:0001222,GO:0001221,is_a
GO:0001223,GO:0001221,is_a
GO:0001227,GO:0000981,is_a
GO:0001227,GO:0001217,is_a
GO:0001228,GO:0000981,is_a
GO:0001228,GO:0001216,is_a
GO:0001540,GO:0042277,is_a
GO:0001558,GO:0040008,is_a
GO:0001558,GO:0051128,is_a
GO:0001568,GO:0048856,is_a
GO:0001568,GO:0001944,part_of
GO:0001659,GO:0048871,is_a
GO:0001666,GO:0006950,is_a
GO:0001666,GO:0036293,is_a
GO:0001678,GO:0042593,is_a
GO:0001678,GO:0055082,is_a
GO:0001727,GO:0016301,is_a
GO:0001750,GO:0110165,is_a
GO:0001750,GO:0097733,part_of
GO:0001775,GO:0009987,is_a
GO:0001775,GO:0032501,is_a
GO:0001784,GO:0045309,is_a
GO:0001817,GO:0010468,is_a
GO:0001817,GO:0051239,is_a
GO:0001819,GO:0001817,is_a
GO:0001819,GO:0010628,is_a
GO:0001819,GO:0051240,is_a
GO:0001822,GO:0048513,is_a
GO:0001822,GO:0072001,part_of
GO:0001889,GO:0048732,is_a
GO:0001889,GO:0061008,part_of
GO:0001890,GO:0048513,is_a
GO:0001894,GO:0060249,is_a
GO:0001894,GO:0048871,part_of
GO:0001906,GO:0009987,is_a
GO:0001909,GO:0001906,is_a
GO:0001909,GO:0002443,is_a
GO:0001936,GO:0050678,is_a
GO:0001937,GO:0001936,is_a
GO:0001937,GO:0050680,is_a
