go_id,go_name,namespace,node_type
GO:0000122,negative regulation of transcription by RNA polymerase II,biological_process,BiologicalProcess
GO:0000139,Golgi membrane,cellular_component,CellularComponent
GO:0000166,nucleotide binding,molecular_function,MolecularFunction
GO:0000209,protein polyubiquitination,biological_process,BiologicalProcess
GO:0000323,lytic vacuole,cellular_component,CellularComponent
GO:0000785,chromatin,cellular_component,CellularComponent
GO:0000976,transcription cis-regulatory region binding,molecular_function,MolecularFunction
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,molecular_function,MolecularFunction
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,molecular_function,MolecularFunction
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function,MolecularFunction
GO:0000987,cis-regulatory region sequence-specific DNA binding,molecular_function,MolecularFunction
GO:0001067,transcription regulatory region nucleic acid binding,molecular_function,MolecularFunction
GO:0001101,response to acid chemical,biological_process,BiologicalProcess
GO:0001216,DNA-binding transcription activator activity,molecular_function,MolecularFunction
GO:0001217,DNA-binding transcription repressor activity,molecular_function,MolecularFunction
GO:0001221,transcription coregulator binding,molecular_function,MolecularFunction
GO:0001222,transcription corepressor binding,molecular_function,MolecularFunction
GO:0001223,transcription coactivator binding,molecular_function,MolecularFunction
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",molecular_function,MolecularFunction
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",molecular_function,MolecularFunction
GO:0001540,amyloid-beta binding,molecular_function,MolecularFunction
GO:0001558,regulation of cell growth,biological_process,BiologicalProcess
GO:0001568,blood vessel development,biological_process,BiologicalProcess
GO:0001659,temperature homeostasis,biological_process,BiologicalProcess
GO:0001666,response to hypoxia,biological_process,BiologicalProcess
GO:0001678,intracellular glucose homeostasis,biological_process,BiologicalProcess
GO:0001727,lipid kinase activity,molecular_function,MolecularFunction
GO:0001750,photoreceptor outer segment,cellular_component,CellularComponent
GO:0001775,cell activation,biological_process,BiologicalProcess
GO:0001784,phosphotyrosine residue binding,molecular_function,MolecularFunction
GO:0001817,regulation of cytokine production,biological_process,BiologicalProcess
GO:0001819,positive regulation of cytokine production,biological_process,BiologicalProcess
GO:0001822,kidney development,biological_process,BiologicalProcess
GO:0001889,liver development,biological_process,BiologicalProcess
GO:0001890,placenta development,biological_process,BiologicalProcess
GO:0001894,tissue homeostasis,biological_process,BiologicalProcess
GO:0001906,cell killing,biological_process,BiologicalProcess
GO:0001909,leukocyte mediated cytotoxicity,biological_process,BiologicalProcess
GO:0001936,regulation of endothelial cell proliferation,biological_process,BiologicalProcess
GO:0001937,negative regulation of endothelial cell proliferation,biological_process,BiologicalProcess
GO:0001944,vasculature development,biological_process,BiologicalProcess
GO:0001959,regulation of cytokine-mediated signaling pathway,biological_process,BiologicalProcess
GO:0001960,negative regulation of cytokine-mediated signaling pathway,biological_process,BiologicalProcess
GO:0002020,protease binding,molecular_function,MolecularFunction
GO:0002090,regulation of receptor internalization,biological_process,BiologicalProcess
GO:0002092,positive regulation of receptor internalization,biological_process,BiologicalProcess
GO:0002228,natural killer cell mediated immunity,biological_process,BiologicalProcess
GO:0002237,response to molecule of bacterial origin,biological_process,BiologicalProcess
GO:0002252,immune effector process,biological_process,BiologicalProcess
GO:0002376,immune system process,biological_process,BiologicalProcess
GO:0002443,leukocyte mediated immunity,biological_process,BiologicalProcess
GO:0002449,lymphocyte mediated immunity,biological_process,BiologicalProcess
GO:0002521,leukocyte differentiation,biological_process,BiologicalProcess
GO:0002526,acute inflammatory response,biological_process,BiologicalProcess
GO:0002573,myeloid leukocyte differentiation,biological_process,BiologicalProcess
GO:0002673,regulation of acute inflammatory response,biological_process,BiologicalProcess
GO:0002674,negative regulation of acute inflammatory response,biological_process,BiologicalProcess
