DB,DB_Object_ID,DB_Object_Symbol,Qualifier,GO_ID,Evidence_Code,Aspect,Object_Name,Taxon
UniProtKB,P01308,INS,acts_upstream_of,GO:0010629,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,acts_upstream_of,GO:0010629,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0002020,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005158,IDA,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005158,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005158,IDA,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005159,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005179,IEA,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005179,NAS,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005179,IMP,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005179,IC,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0005515,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0042802,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0042802,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0042802,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0042802,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0042802,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0042802,IPI,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0048018,IDA,F,Insulin,taxon:9606
UniProtKB,P01308,INS,enables,GO:0048018,IDA,F,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0001819,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0002674,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0006355,NAS,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0006953,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0007186,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0007267,IC,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0008284,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0008284,IDA,P,Insulin,taxon:9606
UniProtKB,P01308,INS,involved_in,GO:0008286,IMP,P,Insulin,taxon:9606
