node_id,node_type,node_name,attributes_json
Gene:SLC2A2,Gene,SLC2A2,"{""gene_symbol"": ""SLC2A2""}"
Gene:PPARG,Gene,PPARG,"{""gene_symbol"": ""PPARG""}"
Gene:TCF7L2,Gene,TCF7L2,"{""gene_symbol"": ""TCF7L2""}"
Gene:KCNJ11,Gene,KCNJ11,"{""gene_symbol"": ""KCNJ11""}"
Gene:IRS1,Gene,IRS1,"{""gene_symbol"": ""IRS1""}"
Gene:HNF4A,Gene,HNF4A,"{""gene_symbol"": ""HNF4A""}"
Gene:INS,Gene,INS,"{""gene_symbol"": ""INS""}"
Gene:ABCC8,Gene,ABCC8,"{""gene_symbol"": ""ABCC8""}"
Gene:HNF1A,Gene,HNF1A,"{""gene_symbol"": ""HNF1A""}"
Gene:FOXO1,Gene,FOXO1,"{""gene_symbol"": ""FOXO1""}"
Gene:IRS2,Gene,IRS2,"{""gene_symbol"": ""IRS2""}"
Gene:INSR,Gene,INSR,"{""gene_symbol"": ""INSR""}"
Gene:GCK,Gene,GCK,"{""gene_symbol"": ""GCK""}"
Gene:PDX1,Gene,PDX1,"{""gene_symbol"": ""PDX1""}"
Gene:PIK3R1,Gene,PIK3R1,"{""gene_symbol"": ""PIK3R1""}"
Protein:P01308,Protein,INS,"{""uniprot_id"": ""P01308"", ""gene_symbol"": ""INS"", ""protein_name"": ""Insulin"", ""taxon_id"": ""9606""}"
Protein:P06213,Protein,INSR,"{""uniprot_id"": ""P06213"", ""gene_symbol"": ""INSR"", ""protein_name"": ""Insulin receptor"", ""taxon_id"": ""9606""}"
Protein:P11168,Protein,SLC2A2,"{""uniprot_id"": ""P11168"", ""gene_symbol"": ""SLC2A2"", ""protein_name"": ""Solute carrier family 2, facilitated glucose transporter member 2"", ""taxon_id"": ""9606""}"
Protein:P20823,Protein,HNF1A,"{""uniprot_id"": ""P20823"", ""gene_symbol"": ""HNF1A"", ""protein_name"": ""Hepatocyte nuclear factor 1-alpha"", ""taxon_id"": ""9606""}"
Protein:P27986,Protein,PIK3R1,"{""uniprot_id"": ""P27986"", ""gene_symbol"": ""PIK3R1"", ""protein_name"": ""Phosphatidylinositol 3-kinase regulatory subunit alpha"", ""taxon_id"": ""9606""}"
Protein:P35557,Protein,GCK,"{""uniprot_id"": ""P35557"", ""gene_symbol"": ""GCK"", ""protein_name"": ""Hexokinase-4"", ""taxon_id"": ""9606""}"
Protein:P35568,Protein,IRS1,"{""uniprot_id"": ""P35568"", ""gene_symbol"": ""IRS1"", ""protein_name"": ""Insulin receptor substrate 1"", ""taxon_id"": ""9606""}"
Protein:P37231,Protein,PPARG,"{""uniprot_id"": ""P37231"", ""gene_symbol"": ""PPARG"", ""protein_name"": ""Peroxisome proliferator-activated receptor gamma"", ""taxon_id"": ""9606""}"
Protein:P41235,Protein,HNF4A,"{""uniprot_id"": ""P41235"", ""gene_symbol"": ""HNF4A"", ""protein_name"": ""Hepatocyte nuclear factor 4-alpha"", ""taxon_id"": ""9606""}"
Protein:P52945,Protein,PDX1,"{""uniprot_id"": ""P52945"", ""gene_symbol"": ""PDX1"", ""protein_name"": ""Pancreas/duodenum homeobox protein 1"", ""taxon_id"": ""9606""}"
Protein:Q09428,Protein,ABCC8,"{""uniprot_id"": ""Q09428"", ""gene_symbol"": ""ABCC8"", ""protein_name"": ""ATP-binding cassette sub-family C member 8"", ""taxon_id"": ""9606""}"
Protein:Q12778,Protein,FOXO1,"{""uniprot_id"": ""Q12778"", ""gene_symbol"": ""FOXO1"", ""protein_name"": ""Forkhead box protein O1"", ""taxon_id"": ""9606""}"
Protein:Q14654,Protein,KCNJ11,"{""uniprot_id"": ""Q14654"", ""gene_symbol"": ""KCNJ11"", ""protein_name"": ""ATP-sensitive inward rectifier potassium channel 11"", ""taxon_id"": ""9606""}"
Protein:Q9NQB0,Protein,TCF7L2,"{""uniprot_id"": ""Q9NQB0"", ""gene_symbol"": ""TCF7L2"", ""protein_name"": ""Transcription factor 7-like 2"", ""taxon_id"": ""9606""}"
Protein:Q9Y4H2,Protein,IRS2,"{""uniprot_id"": ""Q9Y4H2"", ""gene_symbol"": ""IRS2"", ""protein_name"": ""Insulin receptor substrate 2"", ""taxon_id"": ""9606""}"
GO:GO:0000122,BiologicalProcess,negative regulation of transcription by RNA polymerase II,"{""go_id"": ""GO:0000122"", ""go_name"": ""negative regulation of transcription by RNA polymerase II"", ""namespace"": ""biological_process""}"
GO:GO:0000139,CellularComponent,Golgi membrane,"{""go_id"": ""GO:0000139"", ""go_name"": ""Golgi membrane"", ""namespace"": ""cellular_component""}"
GO:GO:0000166,MolecularFunction,nucleotide binding,"{""go_id"": ""GO:0000166"", ""go_name"": ""nucleotide binding"", ""namespace"": ""molecular_function""}"
GO:GO:0000209,BiologicalProcess,protein polyubiquitination,"{""go_id"": ""GO:0000209"", ""go_name"": ""protein polyubiquitination"", ""namespace"": ""biological_process""}"
GO:GO:0000323,CellularComponent,lytic vacuole,"{""go_id"": ""GO:0000323"", ""go_name"": ""lytic vacuole"", ""namespace"": ""cellular_component""}"
GO:GO:0000785,CellularComponent,chromatin,"{""go_id"": ""GO:0000785"", ""go_name"": ""chromatin"", ""namespace"": ""cellular_component""}"
GO:GO:0000976,MolecularFunction,transcription cis-regulatory region binding,"{""go_id"": ""GO:0000976"", ""go_name"": ""transcription cis-regulatory region binding"", ""namespace"": ""molecular_function""}"
GO:GO:0000977,MolecularFunction,RNA polymerase II transcription regulatory region sequence-specific DNA binding,"{""go_id"": ""GO:0000977"", ""go_name"": ""RNA polymerase II transcription regulatory region sequence-specific DNA binding"", ""namespace"": ""molecular_function""}"
GO:GO:0000978,MolecularFunction,RNA polymerase II cis-regulatory region sequence-specific DNA binding,"{""go_id"": ""GO:0000978"", ""go_name"": ""RNA polymerase II cis-regulatory region sequence-specific DNA binding"", ""namespace"": ""molecular_function""}"
GO:GO:0000981,MolecularFunction,"DNA-binding transcription factor activity, RNA polymerase II-specific","{""go_id"": ""GO:0000981"", ""go_name"": ""DNA-binding transcription factor activity, RNA polymerase II-specific"", ""namespace"": ""molecular_function""}"
GO:GO:0000987,MolecularFunction,cis-regulatory region sequence-specific DNA binding,"{""go_id"": ""GO:0000987"", ""go_name"": ""cis-regulatory region sequence-specific DNA binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001067,MolecularFunction,transcription regulatory region nucleic acid binding,"{""go_id"": ""GO:0001067"", ""go_name"": ""transcription regulatory region nucleic acid binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001101,BiologicalProcess,response to acid chemical,"{""go_id"": ""GO:0001101"", ""go_name"": ""response to acid chemical"", ""namespace"": ""biological_process""}"
GO:GO:0001216,MolecularFunction,DNA-binding transcription activator activity,"{""go_id"": ""GO:0001216"", ""go_name"": ""DNA-binding transcription activator activity"", ""namespace"": ""molecular_function""}"
GO:GO:0001217,MolecularFunction,DNA-binding transcription repressor activity,"{""go_id"": ""GO:0001217"", ""go_name"": ""DNA-binding transcription repressor activity"", ""namespace"": ""molecular_function""}"
GO:GO:0001221,MolecularFunction,transcription coregulator binding,"{""go_id"": ""GO:0001221"", ""go_name"": ""transcription coregulator binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001222,MolecularFunction,transcription corepressor binding,"{""go_id"": ""GO:0001222"", ""go_name"": ""transcription corepressor binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001223,MolecularFunction,transcription coactivator binding,"{""go_id"": ""GO:0001223"", ""go_name"": ""transcription coactivator binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001227,MolecularFunction,"DNA-binding transcription repressor activity, RNA polymerase II-specific","{""go_id"": ""GO:0001227"", ""go_name"": ""DNA-binding transcription repressor activity, RNA polymerase II-specific"", ""namespace"": ""molecular_function""}"
GO:GO:0001228,MolecularFunction,"DNA-binding transcription activator activity, RNA polymerase II-specific","{""go_id"": ""GO:0001228"", ""go_name"": ""DNA-binding transcription activator activity, RNA polymerase II-specific"", ""namespace"": ""molecular_function""}"
GO:GO:0001540,MolecularFunction,amyloid-beta binding,"{""go_id"": ""GO:0001540"", ""go_name"": ""amyloid-beta binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001558,BiologicalProcess,regulation of cell growth,"{""go_id"": ""GO:0001558"", ""go_name"": ""regulation of cell growth"", ""namespace"": ""biological_process""}"
GO:GO:0001568,BiologicalProcess,blood vessel development,"{""go_id"": ""GO:0001568"", ""go_name"": ""blood vessel development"", ""namespace"": ""biological_process""}"
GO:GO:0001659,BiologicalProcess,temperature homeostasis,"{""go_id"": ""GO:0001659"", ""go_name"": ""temperature homeostasis"", ""namespace"": ""biological_process""}"
GO:GO:0001666,BiologicalProcess,response to hypoxia,"{""go_id"": ""GO:0001666"", ""go_name"": ""response to hypoxia"", ""namespace"": ""biological_process""}"
GO:GO:0001678,BiologicalProcess,intracellular glucose homeostasis,"{""go_id"": ""GO:0001678"", ""go_name"": ""intracellular glucose homeostasis"", ""namespace"": ""biological_process""}"
GO:GO:0001727,MolecularFunction,lipid kinase activity,"{""go_id"": ""GO:0001727"", ""go_name"": ""lipid kinase activity"", ""namespace"": ""molecular_function""}"
GO:GO:0001750,CellularComponent,photoreceptor outer segment,"{""go_id"": ""GO:0001750"", ""go_name"": ""photoreceptor outer segment"", ""namespace"": ""cellular_component""}"
GO:GO:0001775,BiologicalProcess,cell activation,"{""go_id"": ""GO:0001775"", ""go_name"": ""cell activation"", ""namespace"": ""biological_process""}"
GO:GO:0001784,MolecularFunction,phosphotyrosine residue binding,"{""go_id"": ""GO:0001784"", ""go_name"": ""phosphotyrosine residue binding"", ""namespace"": ""molecular_function""}"
GO:GO:0001817,BiologicalProcess,regulation of cytokine production,"{""go_id"": ""GO:0001817"", ""go_name"": ""regulation of cytokine production"", ""namespace"": ""biological_process""}"
GO:GO:0001819,BiologicalProcess,positive regulation of cytokine production,"{""go_id"": ""GO:0001819"", ""go_name"": ""positive regulation of cytokine production"", ""namespace"": ""biological_process""}"
GO:GO:0001822,BiologicalProcess,kidney development,"{""go_id"": ""GO:0001822"", ""go_name"": ""kidney development"", ""namespace"": ""biological_process""}"
GO:GO:0001889,BiologicalProcess,liver development,"{""go_id"": ""GO:0001889"", ""go_name"": ""liver development"", ""namespace"": ""biological_process""}"
GO:GO:0001890,BiologicalProcess,placenta development,"{""go_id"": ""GO:0001890"", ""go_name"": ""placenta development"", ""namespace"": ""biological_process""}"
GO:GO:0001894,BiologicalProcess,tissue homeostasis,"{""go_id"": ""GO:0001894"", ""go_name"": ""tissue homeostasis"", ""namespace"": ""biological_process""}"
GO:GO:0001906,BiologicalProcess,cell killing,"{""go_id"": ""GO:0001906"", ""go_name"": ""cell killing"", ""namespace"": ""biological_process""}"
GO:GO:0001909,BiologicalProcess,leukocyte mediated cytotoxicity,"{""go_id"": ""GO:0001909"", ""go_name"": ""leukocyte mediated cytotoxicity"", ""namespace"": ""biological_process""}"
GO:GO:0001936,BiologicalProcess,regulation of endothelial cell proliferation,"{""go_id"": ""GO:0001936"", ""go_name"": ""regulation of endothelial cell proliferation"", ""namespace"": ""biological_process""}"
GO:GO:0001937,BiologicalProcess,negative regulation of endothelial cell proliferation,"{""go_id"": ""GO:0001937"", ""go_name"": ""negative regulation of endothelial cell proliferation"", ""namespace"": ""biological_process""}"
GO:GO:0001944,BiologicalProcess,vasculature development,"{""go_id"": ""GO:0001944"", ""go_name"": ""vasculature development"", ""namespace"": ""biological_process""}"
GO:GO:0001959,BiologicalProcess,regulation of cytokine-mediated signaling pathway,"{""go_id"": ""GO:0001959"", ""go_name"": ""regulation of cytokine-mediated signaling pathway"", ""namespace"": ""biological_process""}"
GO:GO:0001960,BiologicalProcess,negative regulation of cytokine-mediated signaling pathway,"{""go_id"": ""GO:0001960"", ""go_name"": ""negative regulation of cytokine-mediated signaling pathway"", ""namespace"": ""biological_process""}"
GO:GO:0002020,MolecularFunction,protease binding,"{""go_id"": ""GO:0002020"", ""go_name"": ""protease binding"", ""namespace"": ""molecular_function""}"
GO:GO:0002090,BiologicalProcess,regulation of receptor internalization,"{""go_id"": ""GO:0002090"", ""go_name"": ""regulation of receptor internalization"", ""namespace"": ""biological_process""}"
GO:GO:0002092,BiologicalProcess,positive regulation of receptor internalization,"{""go_id"": ""GO:0002092"", ""go_name"": ""positive regulation of receptor internalization"", ""namespace"": ""biological_process""}"
GO:GO:0002228,BiologicalProcess,natural killer cell mediated immunity,"{""go_id"": ""GO:0002228"", ""go_name"": ""natural killer cell mediated immunity"", ""namespace"": ""biological_process""}"
GO:GO:0002237,BiologicalProcess,response to molecule of bacterial origin,"{""go_id"": ""GO:0002237"", ""go_name"": ""response to molecule of bacterial origin"", ""namespace"": ""biological_process""}"
GO:GO:0002252,BiologicalProcess,immune effector process,"{""go_id"": ""GO:0002252"", ""go_name"": ""immune effector process"", ""namespace"": ""biological_process""}"
GO:GO:0002376,BiologicalProcess,immune system process,"{""go_id"": ""GO:0002376"", ""go_name"": ""immune system process"", ""namespace"": ""biological_process""}"
GO:GO:0002443,BiologicalProcess,leukocyte mediated immunity,"{""go_id"": ""GO:0002443"", ""go_name"": ""leukocyte mediated immunity"", ""namespace"": ""biological_process""}"
GO:GO:0002449,BiologicalProcess,lymphocyte mediated immunity,"{""go_id"": ""GO:0002449"", ""go_name"": ""lymphocyte mediated immunity"", ""namespace"": ""biological_process""}"
GO:GO:0002521,BiologicalProcess,leukocyte differentiation,"{""go_id"": ""GO:0002521"", ""go_name"": ""leukocyte differentiation"", ""namespace"": ""biological_process""}"
GO:GO:0002526,BiologicalProcess,acute inflammatory response,"{""go_id"": ""GO:0002526"", ""go_name"": ""acute inflammatory response"", ""namespace"": ""biological_process""}"
GO:GO:0002573,BiologicalProcess,myeloid leukocyte differentiation,"{""go_id"": ""GO:0002573"", ""go_name"": ""myeloid leukocyte differentiation"", ""namespace"": ""biological_process""}"
GO:GO:0002673,BiologicalProcess,regulation of acute inflammatory response,"{""go_id"": ""GO:0002673"", ""go_name"": ""regulation of acute inflammatory response"", ""namespace"": ""biological_process""}"
GO:GO:0002674,BiologicalProcess,negative regulation of acute inflammatory response,"{""go_id"": ""GO:0002674"", ""go_name"": ""negative regulation of acute inflammatory response"", ""namespace"": ""biological_process""}"
GO:GO:0002682,BiologicalProcess,regulation of immune system process,"{""go_id"": ""GO:0002682"", ""go_name"": ""regulation of immune system process"", ""namespace"": ""biological_process""}"
GO:GO:0002683,BiologicalProcess,negative regulation of immune system process,"{""go_id"": ""GO:0002683"", ""go_name"": ""negative regulation of immune system process"", ""namespace"": ""biological_process""}"
GO:GO:0002684,BiologicalProcess,positive regulation of immune system process,"{""go_id"": ""GO:0002684"", ""go_name"": ""positive regulation of immune system process"", ""namespace"": ""biological_process""}"
GO:GO:0002694,BiologicalProcess,regulation of leukocyte activation,"{""go_id"": ""GO:0002694"", ""go_name"": ""regulation of leukocyte activation"", ""namespace"": ""biological_process""}"
GO:GO:0002696,BiologicalProcess,positive regulation of leukocyte activation,"{""go_id"": ""GO:0002696"", ""go_name"": ""positive regulation of leukocyte activation"", ""namespace"": ""biological_process""}"
GO:GO:0002697,BiologicalProcess,regulation of immune effector process,"{""go_id"": ""GO:0002697"", ""go_name"": ""regulation of immune effector process"", ""namespace"": ""biological_process""}"
GO:GO:0002698,BiologicalProcess,negative regulation of immune effector process,"{""go_id"": ""GO:0002698"", ""go_name"": ""negative regulation of immune effector process"", ""namespace"": ""biological_process""}"
