source_id,target_id,edge_type,data_source,confidence_score,evidence_count
Chemical:CHEBI:10070,Chemical:CHEBI:33308,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:145810,Chemical:CHEBI:25905,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:15693,Chemical:CHEBI:35381,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:15841,Chemical:CHEBI:33839,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:16646,Chemical:CHEBI:78616,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:16670,Chemical:CHEBI:50047,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:17234,Chemical:CHEBI:33917,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:18133,Chemical:CHEBI:35381,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:23367,Chemical:CHEBI:24431,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:23449,Chemical:CHEBI:16670,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:24436,Chemical:CHEBI:35352,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:24532,Chemical:CHEBI:5686,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:24533,Chemical:CHEBI:23449,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:25367,Chemical:CHEBI:36357,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:25693,Chemical:CHEBI:33670,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:25806,Chemical:CHEBI:33304,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:25905,Chemical:CHEBI:16670,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:26421,Chemical:CHEBI:38101,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:26835,Chemical:CHEBI:33304,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:29347,Chemical:CHEBI:37622,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:32988,Chemical:CHEBI:51143,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33241,Chemical:CHEBI:37577,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33256,Chemical:CHEBI:32988,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33261,Chemical:CHEBI:36962,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33285,Chemical:CHEBI:50860,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33302,Chemical:CHEBI:33675,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33304,Chemical:CHEBI:33675,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33308,Chemical:CHEBI:36586,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33424,Chemical:CHEBI:33241,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33552,Chemical:CHEBI:33424,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33579,Chemical:CHEBI:23367,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33582,Chemical:CHEBI:33675,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33595,Chemical:CHEBI:25367,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33655,Chemical:CHEBI:33595,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33659,Chemical:CHEBI:33832,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33661,Chemical:CHEBI:33595,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33670,Chemical:CHEBI:5686,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33675,Chemical:CHEBI:33579,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33832,Chemical:CHEBI:72695,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33839,Chemical:CHEBI:36357,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33860,Chemical:CHEBI:50047,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:33917,Chemical:CHEBI:18133,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:35352,Chemical:CHEBI:51143,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:35358,Chemical:CHEBI:33552,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:35381,Chemical:CHEBI:16646,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:35622,Chemical:CHEBI:38106,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:35701,Chemical:CHEBI:36963,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:36357,Chemical:CHEBI:23367,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:36586,Chemical:CHEBI:36963,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:36587,Chemical:CHEBI:72695,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:36962,Chemical:CHEBI:33304,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:36963,Chemical:CHEBI:36962,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:37577,Chemical:CHEBI:36357,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:37622,Chemical:CHEBI:36963,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:38101,Chemical:CHEBI:35352,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:38106,Chemical:CHEBI:33261,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:38207,Chemical:CHEBI:33860,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:38313,Chemical:CHEBI:38101,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:38314,Chemical:CHEBI:38313,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:47857,Chemical:CHEBI:33256,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:50047,Chemical:CHEBI:50860,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:50122,Chemical:CHEBI:50990,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:50860,Chemical:CHEBI:33582,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:50990,Chemical:CHEBI:35622,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:51143,Chemical:CHEBI:33302,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:5384,Chemical:CHEBI:76983,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:5391,Chemical:CHEBI:25905,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:5686,Chemical:CHEBI:33595,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:5931,Chemical:CHEBI:145810,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:62733,Chemical:CHEBI:33659,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:6801,Chemical:CHEBI:24436,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:72695,Chemical:CHEBI:50860,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:76983,Chemical:CHEBI:47857,chemical_is_a_subclass_of,ChEBI,,0.0
Chemical:CHEBI:78616,Chemical:CHEBI:36963,chemical_is_a_subclass_of,ChEBI,,0.0
GO:GO:0000122,GO:GO:0006357,go_term_is_a,GeneOntology,,0.0
GO:GO:0000122,GO:GO:0045892,go_term_is_a,GeneOntology,,0.0
GO:GO:0000139,GO:GO:0005794,go_term_part_of,GeneOntology,,0.0
GO:GO:0000139,GO:GO:0098588,go_term_is_a,GeneOntology,,0.0
GO:GO:0000166,GO:GO:1901265,go_term_is_a,GeneOntology,,0.0
GO:GO:0000166,GO:GO:1901363,go_term_is_a,GeneOntology,,0.0
GO:GO:0000209,GO:GO:0016567,go_term_is_a,GeneOntology,,0.0
GO:GO:0000323,GO:GO:0005773,go_term_is_a,GeneOntology,,0.0
GO:GO:0000785,GO:GO:0005694,go_term_part_of,GeneOntology,,0.0
GO:GO:0000785,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
GO:GO:0000976,GO:GO:0001067,go_term_is_a,GeneOntology,,0.0
GO:GO:0000976,GO:GO:1990837,go_term_is_a,GeneOntology,,0.0
GO:GO:0000977,GO:GO:0000976,go_term_is_a,GeneOntology,,0.0
GO:GO:0000978,GO:GO:0000977,go_term_is_a,GeneOntology,,0.0
GO:GO:0000978,GO:GO:0000987,go_term_is_a,GeneOntology,,0.0
GO:GO:0000981,GO:GO:0003700,go_term_is_a,GeneOntology,,0.0
GO:GO:0000987,GO:GO:0000976,go_term_is_a,GeneOntology,,0.0
GO:GO:0001067,GO:GO:0003676,go_term_is_a,GeneOntology,,0.0
GO:GO:0001101,GO:GO:0042221,go_term_is_a,GeneOntology,,0.0
GO:GO:0001216,GO:GO:0003700,go_term_is_a,GeneOntology,,0.0
GO:GO:0001217,GO:GO:0003700,go_term_is_a,GeneOntology,,0.0
GO:GO:0001221,GO:GO:0008134,go_term_is_a,GeneOntology,,0.0
GO:GO:0001222,GO:GO:0001221,go_term_is_a,GeneOntology,,0.0
GO:GO:0001223,GO:GO:0001221,go_term_is_a,GeneOntology,,0.0
GO:GO:0001227,GO:GO:0000981,go_term_is_a,GeneOntology,,0.0
GO:GO:0001227,GO:GO:0001217,go_term_is_a,GeneOntology,,0.0
GO:GO:0001228,GO:GO:0000981,go_term_is_a,GeneOntology,,0.0
GO:GO:0001228,GO:GO:0001216,go_term_is_a,GeneOntology,,0.0
GO:GO:0001540,GO:GO:0042277,go_term_is_a,GeneOntology,,0.0
GO:GO:0001558,GO:GO:0040008,go_term_is_a,GeneOntology,,0.0
GO:GO:0001558,GO:GO:0051128,go_term_is_a,GeneOntology,,0.0
GO:GO:0001568,GO:GO:0001944,go_term_part_of,GeneOntology,,0.0
GO:GO:0001568,GO:GO:0048856,go_term_is_a,GeneOntology,,0.0
GO:GO:0001659,GO:GO:0048871,go_term_is_a,GeneOntology,,0.0
GO:GO:0001666,GO:GO:0006950,go_term_is_a,GeneOntology,,0.0
GO:GO:0001666,GO:GO:0036293,go_term_is_a,GeneOntology,,0.0
GO:GO:0001678,GO:GO:0042593,go_term_is_a,GeneOntology,,0.0
GO:GO:0001678,GO:GO:0055082,go_term_is_a,GeneOntology,,0.0
GO:GO:0001727,GO:GO:0016301,go_term_is_a,GeneOntology,,0.0
GO:GO:0001750,GO:GO:0097733,go_term_part_of,GeneOntology,,0.0
GO:GO:0001750,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
GO:GO:0001775,GO:GO:0009987,go_term_is_a,GeneOntology,,0.0
GO:GO:0001775,GO:GO:0032501,go_term_is_a,GeneOntology,,0.0
GO:GO:0001784,GO:GO:0045309,go_term_is_a,GeneOntology,,0.0
GO:GO:0001817,GO:GO:0010468,go_term_is_a,GeneOntology,,0.0
GO:GO:0001817,GO:GO:0051239,go_term_is_a,GeneOntology,,0.0
GO:GO:0001819,GO:GO:0001817,go_term_is_a,GeneOntology,,0.0
GO:GO:0001819,GO:GO:0010628,go_term_is_a,GeneOntology,,0.0
GO:GO:0001819,GO:GO:0051240,go_term_is_a,GeneOntology,,0.0
GO:GO:0001822,GO:GO:0048513,go_term_is_a,GeneOntology,,0.0
GO:GO:0001822,GO:GO:0072001,go_term_part_of,GeneOntology,,0.0
GO:GO:0001889,GO:GO:0048732,go_term_is_a,GeneOntology,,0.0
GO:GO:0001889,GO:GO:0061008,go_term_part_of,GeneOntology,,0.0
GO:GO:0001890,GO:GO:0048513,go_term_is_a,GeneOntology,,0.0
GO:GO:0001894,GO:GO:0048871,go_term_part_of,GeneOntology,,0.0
GO:GO:0001894,GO:GO:0060249,go_term_is_a,GeneOntology,,0.0
GO:GO:0001906,GO:GO:0009987,go_term_is_a,GeneOntology,,0.0
GO:GO:0001909,GO:GO:0001906,go_term_is_a,GeneOntology,,0.0
GO:GO:0001909,GO:GO:0002443,go_term_is_a,GeneOntology,,0.0
GO:GO:0001936,GO:GO:0050678,go_term_is_a,GeneOntology,,0.0
GO:GO:0001937,GO:GO:0001936,go_term_is_a,GeneOntology,,0.0
GO:GO:0001937,GO:GO:0050680,go_term_is_a,GeneOntology,,0.0
GO:GO:0001944,GO:GO:0048731,go_term_is_a,GeneOntology,,0.0
GO:GO:0001944,GO:GO:0072359,go_term_part_of,GeneOntology,,0.0
GO:GO:0001959,GO:GO:0009966,go_term_is_a,GeneOntology,,0.0
GO:GO:0001959,GO:GO:0060759,go_term_is_a,GeneOntology,,0.0
GO:GO:0001960,GO:GO:0001959,go_term_is_a,GeneOntology,,0.0
GO:GO:0001960,GO:GO:0009968,go_term_is_a,GeneOntology,,0.0
GO:GO:0001960,GO:GO:0060761,go_term_is_a,GeneOntology,,0.0
GO:GO:0002020,GO:GO:0019899,go_term_is_a,GeneOntology,,0.0
GO:GO:0002090,GO:GO:0048259,go_term_is_a,GeneOntology,,0.0
GO:GO:0002092,GO:GO:0002090,go_term_is_a,GeneOntology,,0.0
GO:GO:0002092,GO:GO:0048260,go_term_is_a,GeneOntology,,0.0
GO:GO:0002228,GO:GO:0002449,go_term_is_a,GeneOntology,,0.0
GO:GO:0002228,GO:GO:0045087,go_term_is_a,GeneOntology,,0.0
GO:GO:0002237,GO:GO:0009617,go_term_part_of,GeneOntology,,0.0
GO:GO:0002237,GO:GO:0043207,go_term_is_a,GeneOntology,,0.0
GO:GO:0002252,GO:GO:0002376,go_term_is_a,GeneOntology,,0.0
GO:GO:0002376,GO:GO:0008150,go_term_is_a,GeneOntology,,0.0
GO:GO:0002443,GO:GO:0002252,go_term_is_a,GeneOntology,,0.0
GO:GO:0002449,GO:GO:0002443,go_term_is_a,GeneOntology,,0.0
GO:GO:0002521,GO:GO:0030097,go_term_part_of,GeneOntology,,0.0
GO:GO:0002521,GO:GO:0030154,go_term_is_a,GeneOntology,,0.0
GO:GO:0002526,GO:GO:0006954,go_term_is_a,GeneOntology,,0.0
GO:GO:0002573,GO:GO:0002521,go_term_is_a,GeneOntology,,0.0
GO:GO:0002573,GO:GO:0030099,go_term_is_a,GeneOntology,,0.0
GO:GO:0002673,GO:GO:0050727,go_term_is_a,GeneOntology,,0.0
GO:GO:0002674,GO:GO:0002673,go_term_is_a,GeneOntology,,0.0
GO:GO:0002674,GO:GO:0050728,go_term_is_a,GeneOntology,,0.0
GO:GO:0002682,GO:GO:0050789,go_term_is_a,GeneOntology,,0.0
GO:GO:0002683,GO:GO:0002682,go_term_is_a,GeneOntology,,0.0
GO:GO:0002683,GO:GO:0048519,go_term_is_a,GeneOntology,,0.0
GO:GO:0002684,GO:GO:0002682,go_term_is_a,GeneOntology,,0.0
GO:GO:0002684,GO:GO:0048518,go_term_is_a,GeneOntology,,0.0
GO:GO:0002694,GO:GO:0002682,go_term_is_a,GeneOntology,,0.0
GO:GO:0002694,GO:GO:0050865,go_term_is_a,GeneOntology,,0.0
GO:GO:0002696,GO:GO:0002684,go_term_is_a,GeneOntology,,0.0
GO:GO:0002696,GO:GO:0002694,go_term_is_a,GeneOntology,,0.0
GO:GO:0002696,GO:GO:0050867,go_term_is_a,GeneOntology,,0.0
GO:GO:0002697,GO:GO:0002682,go_term_is_a,GeneOntology,,0.0
GO:GO:0002698,GO:GO:0002683,go_term_is_a,GeneOntology,,0.0
GO:GO:0002698,GO:GO:0002697,go_term_is_a,GeneOntology,,0.0
GO:GO:0002790,GO:GO:0015833,go_term_is_a,GeneOntology,,0.0
GO:GO:0002790,GO:GO:0046903,go_term_is_a,GeneOntology,,0.0
GO:GO:0002791,GO:GO:0051046,go_term_is_a,GeneOntology,,0.0
GO:GO:0002791,GO:GO:0090087,go_term_is_a,GeneOntology,,0.0
GO:GO:0002792,GO:GO:0002791,go_term_is_a,GeneOntology,,0.0
GO:GO:0002792,GO:GO:0051048,go_term_is_a,GeneOntology,,0.0
GO:GO:0002793,GO:GO:0002791,go_term_is_a,GeneOntology,,0.0
GO:GO:0002793,GO:GO:0051047,go_term_is_a,GeneOntology,,0.0
GO:GO:0002831,GO:GO:0048583,go_term_is_a,GeneOntology,,0.0
GO:GO:0002832,GO:GO:0002831,go_term_is_a,GeneOntology,,0.0
GO:GO:0002832,GO:GO:0048585,go_term_is_a,GeneOntology,,0.0
GO:GO:0002902,GO:GO:0070228,go_term_is_a,GeneOntology,,0.0
GO:GO:0002903,GO:GO:0002902,go_term_is_a,GeneOntology,,0.0
GO:GO:0002903,GO:GO:0070229,go_term_is_a,GeneOntology,,0.0
GO:GO:0003006,GO:GO:0022414,go_term_is_a,GeneOntology,,0.0
GO:GO:0003006,GO:GO:0032502,go_term_is_a,GeneOntology,,0.0
GO:GO:0003007,GO:GO:0007507,go_term_part_of,GeneOntology,,0.0
GO:GO:0003007,GO:GO:0009887,go_term_is_a,GeneOntology,,0.0
GO:GO:0003008,GO:GO:0032501,go_term_is_a,GeneOntology,,0.0
GO:GO:0003013,GO:GO:0003008,go_term_is_a,GeneOntology,,0.0
GO:GO:0003014,GO:GO:0003008,go_term_is_a,GeneOntology,,0.0
GO:GO:0003018,GO:GO:0003013,go_term_is_a,GeneOntology,,0.0
GO:GO:0003309,GO:GO:0031018,go_term_part_of,GeneOntology,,0.0
GO:GO:0003309,GO:GO:0035883,go_term_is_a,GeneOntology,,0.0
GO:GO:0003676,GO:GO:0005488,go_term_is_a,GeneOntology,,0.0
GO:GO:0003677,GO:GO:0003676,go_term_is_a,GeneOntology,,0.0
GO:GO:0003682,GO:GO:0005488,go_term_is_a,GeneOntology,,0.0
GO:GO:0003690,GO:GO:0003677,go_term_is_a,GeneOntology,,0.0
GO:GO:0003700,GO:GO:0140110,go_term_is_a,GeneOntology,,0.0
GO:GO:0003824,GO:GO:0003674,go_term_is_a,GeneOntology,,0.0
GO:GO:0004340,GO:GO:0004396,go_term_is_a,GeneOntology,,0.0
GO:GO:0004396,GO:GO:0016773,go_term_is_a,GeneOntology,,0.0
GO:GO:0004396,GO:GO:0019200,go_term_is_a,GeneOntology,,0.0
GO:GO:0004672,GO:GO:0016301,go_term_is_a,GeneOntology,,0.0
GO:GO:0004672,GO:GO:0016773,go_term_is_a,GeneOntology,,0.0
GO:GO:0004672,GO:GO:0140096,go_term_is_a,GeneOntology,,0.0
GO:GO:0004713,GO:GO:0004672,go_term_is_a,GeneOntology,,0.0
GO:GO:0004714,GO:GO:0004713,go_term_is_a,GeneOntology,,0.0
GO:GO:0004714,GO:GO:0019199,go_term_is_a,GeneOntology,,0.0
GO:GO:0004879,GO:GO:0000981,go_term_is_a,GeneOntology,,0.0
GO:GO:0004879,GO:GO:0038023,go_term_is_a,GeneOntology,,0.0
GO:GO:0004879,GO:GO:0098531,go_term_is_a,GeneOntology,,0.0
GO:GO:0004888,GO:GO:0038023,go_term_is_a,GeneOntology,,0.0
GO:GO:0004930,GO:GO:0004888,go_term_is_a,GeneOntology,,0.0
GO:GO:0004953,GO:GO:0004930,go_term_is_a,GeneOntology,,0.0
GO:GO:0004954,GO:GO:0004953,go_term_is_a,GeneOntology,,0.0
GO:GO:0004955,GO:GO:0004954,go_term_is_a,GeneOntology,,0.0
GO:GO:0005009,GO:GO:0004714,go_term_is_a,GeneOntology,,0.0
GO:GO:0005009,GO:GO:0016500,go_term_is_a,GeneOntology,,0.0
GO:GO:0005068,GO:GO:0030159,go_term_is_a,GeneOntology,,0.0
GO:GO:0005068,GO:GO:0030971,go_term_is_a,GeneOntology,,0.0
GO:GO:0005080,GO:GO:0019901,go_term_is_a,GeneOntology,,0.0
GO:GO:0005102,GO:GO:0005515,go_term_is_a,GeneOntology,,0.0
GO:GO:0005126,GO:GO:0005102,go_term_is_a,GeneOntology,,0.0
GO:GO:0005158,GO:GO:0005102,go_term_is_a,GeneOntology,,0.0
GO:GO:0005159,GO:GO:0005102,go_term_is_a,GeneOntology,,0.0
GO:GO:0005165,GO:GO:0005126,go_term_is_a,GeneOntology,,0.0
